Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","1N4148","Diode_SMD_SOD-123_inSilk",40.0050,-43.8150,0.0000,bottom
"D2","1N4148","Diode_SMD_SOD-123_inSilk",59.0550,-43.8150,0.0000,bottom
"D3","1N4148","Diode_SMD_SOD-123_inSilk",78.1050,-43.8150,0.0000,bottom
"D4","1N4148","Diode_SMD_SOD-123_inSilk",97.1550,-43.8150,0.0000,bottom
"D5","1N4148","Diode_SMD_SOD-123_inSilk",40.0050,-62.8650,0.0000,bottom
"D6","1N4148","Diode_SMD_SOD-123_inSilk",59.0550,-62.8650,0.0000,bottom
"D7","1N4148","Diode_SMD_SOD-123_inSilk",78.1050,-62.8650,0.0000,bottom
"D8","1N4148","Diode_SMD_SOD-123_inSilk",97.1550,-62.8650,0.0000,bottom
"D9","1N4148","Diode_SMD_SOD-123_inSilk",40.0050,-81.9150,0.0000,bottom
"D10","1N4148","Diode_SMD_SOD-123_inSilk",59.0550,-81.9150,0.0000,bottom
"D11","1N4148","Diode_SMD_SOD-123_inSilk",78.1050,-81.9150,0.0000,bottom
"D12","1N4148","Diode_SMD_SOD-123_inSilk",97.1550,-81.9150,0.0000,bottom
"D13","1N4148","Diode_SMD_SOD-123_inSilk",46.9900,-85.7250,270.0000,bottom
"D15","1N4148","Diode_SMD_SOD-123_inSilk",50.1650,-85.7250,270.0000,bottom
"D17","1N4148","Diode_SMD_SOD-123_inSilk",83.1850,-85.7250,270.0000,bottom
"D19","1N4148","Diode_SMD_SOD-123_inSilk",86.3600,-85.7250,270.0000,bottom
"SW1","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",37.4650,-34.2900,180.0000,bottom
"SW2","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",56.5150,-34.2900,180.0000,bottom
"SW3","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",75.5650,-34.2900,180.0000,bottom
"SW4","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",94.6150,-34.2900,180.0000,bottom
"SW5","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",37.4650,-53.3400,180.0000,bottom
"SW6","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",56.5150,-53.3400,180.0000,bottom
"SW7","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",75.5650,-53.3400,180.0000,bottom
"SW8","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",94.6150,-53.3400,180.0000,bottom
"SW9","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",37.4650,-72.3900,180.0000,bottom
"SW10","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",56.5150,-72.3900,180.0000,bottom
"SW11","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",75.5650,-72.3900,180.0000,bottom
"SW12","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",94.6150,-72.3900,180.0000,bottom
"SW13","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",37.4650,-91.4400,180.0000,bottom
"SW14","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",48.2600,-99.0600,0.0000,bottom
"SW15","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",56.5150,-91.4400,180.0000,bottom
"SW16","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",67.3100,-99.0600,0.0000,bottom
"SW17","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",75.5650,-91.4400,180.0000,bottom
"SW18","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",86.3600,-99.0600,0.0000,bottom
"SW19","SW_Push","SW_MX_Slim_HotSwap_THT_sqSilk",94.6150,-91.4400,180.0000,bottom
